Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
14	1100	1	24	79	50	25.3	72.5	59.6
13	1074	1	30	84	27	28.8	90.6	35.2
12	570	1	61	85	28	61.9	90.5	35.1
11	556	1	15	37	52	18.8	37.5	59.1
10	384	1	13	53	22	13.6	47.9	27.6
9	296	1	40	82	50	43.7	80	57.2
8	282	1	76	38	55	69.4	36.5	60.6
7	268	1	75	45	23	75.1	43.2	28.7
6	218	1	66	70	52	65.9	74.4	56.1
5	75	1	58	70	61	59.2	69.6	65.9
4	3	1	56	68	59	56.3	68.3	59
3	1	1	60	25	62	60	25	62
2	1	1	70	68	56	70	68	56
1	1	1	64	68	56	64	68	56
